SRR070570 SRR070571 SRR070572 SRR070573
AT1G01010 5 13 15 15
AT1G01020 182 177 121 144
AT1G01030 16 11 9 10
AT1G01040 30 32 113 132
AT1G01046 0 1 0 2
AT1G01050 87 82 114 107
AT1G01060 157 194 188 226
AT1G01070 26 18 17 10
AT1G01073 0 0 0 0
AT1G01080 132 118 113 121
AT1G01090 597 554 394 436
AT1G01100 946 1034 457 513
AT1G01110 8 7 11 10
AT1G01115 0 0 0 0
AT1G01120 230 243 94 103
AT1G01130 4 7 1 2
AT1G01140 34 24 78 87
AT1G01150 3 2 0 8
AT1G01160 53 47 88 68
AT1G01170 141 110 52 82
AT1G01180 56 61 21 12
AT1G01183 0 0 0 0
AT1G01190 14 11 11 15
AT1G01200 8 2 7 2
AT1G01210 60 57 27 34
AT1G01220 22 14 34 45
AT1G01225 18 15 9 7
AT1G01230 53 58 43 40
AT1G01240 33 40 52 43
AT1G01250 19 29 14 8
AT1G01260 24 23 28 25
AT1G01270 0 0 0 0
AT1G01280 1 0 0 0
AT1G01290 15 16 22 20
AT1G01300 252 248 110 113
AT1G01305 0 0 0 0
AT1G01310 1 0 1 1
AT1G01320 245 198 999 967
AT1G01340 5 13 26 19
AT1G01350 22 18 36 33
AT1G01355 0 1 2 0
AT1G01360 43 25 45 43
AT1G01370 5 4 6 8
AT1G01380 5 4 3 0
AT1G01390 12 4 13 5
AT1G01400 1 0 0 1
AT1G01410 0 0 1 0
AT1G01420 28 26 20 21
AT1G01430 224 231 148 146
AT1G01440 34 20 28 51
AT1G01448 2 1 22 15
AT1G01450 0 0 0 0
AT1G01453 5 2 0 1
AT1G01460 3 2 1 0
AT1G01470 117 132 101 101
AT1G01471 0 0 0 0
AT1G01480 3 2 3 2
AT1G01490 90 68 124 124
AT1G01500 35 31 20 23
AT1G01510 58 66 64 78
AT1G01520 6 4 5 7
AT1G01530 0 0 1 0
AT1G01540 134 140 164 154
AT1G01550 289 320 219 255
AT1G01560 5 3 6 5
AT1G01570 7 4 10 8
AT1G01580 33 31 12 9
AT1G01590 0 1 6 3
AT1G01600 32 36 15 37
AT1G01610 175 181 110 108
AT1G01620 1624 1572 680 589
AT1G01630 71 51 81 80
AT1G01640 17 16 12 11
AT1G01650 36 40 73 55
AT1G01660 7 1 7 8
AT1G01670 2 1 2 4
AT1G01680 0 0 4 3
AT1G01690 2 3 9 7
AT1G01695 0 0 0 1
AT1G01700 0 0 0 4
AT1G01710 42 57 66 70
AT1G01720 144 165 57 78
AT1G01725 10 17 9 13
AT1G01730 35 37 33 26
AT1G01740 7 8 12 12
AT1G01750 39 26 16 20
AT1G01760 5 2 8 8
AT1G01770 44 37 61 73
AT1G01780 25 18 25 28
AT1G01790 115 139 284 310
AT1G01800 97 94 107 118
AT1G01810 14 12 6 6
AT1G01820 95 125 115 126
AT1G01830 35 23 43 36
AT1G01840 13 12 9 7
AT1G01860 10 9 16 26
AT1G01870 1 0 1 0
AT1G01880 2 3 5 7
AT1G01890 0 1 0 1
AT1G01900 20 19 17 23
AT1G01910 99 107 106 93
AT1G01920 12 17 22 24
AT1G01930 7 11 34 22
AT1G01940 23 22 23 16
AT1G01950 20 23 63 68
AT1G01960 141 128 204 207
AT1G01970 65 76 51 46
AT1G01980 1 0 0 0
AT1G01990 75 93 38 54
AT1G02000 51 46 22 33
AT1G02010 8 5 18 25
AT1G02020 94 94 69 41
AT1G02030 2 5 2 3
AT1G02040 4 2 1 1
AT1G02050 4 4 9 10
AT1G02060 5 8 9 10
AT1G02065 5 3 11 16
AT1G02070 1 2 0 1
AT1G02074 0 0 0 0
AT1G02080 75 96 268 300
AT1G02090 52 48 79 50
AT1G02100 66 67 41 53
AT1G02110 76 76 61 69
AT1G02120 184 177 315 369
AT1G02130 112 117 56 56
